model_name,phase,r2,mse,rmse
Linear Regression (Baseline),before,0.8340774940339486,3200.630589797814,56.574115899391785
Random Forest,after,0.8721316518629696,2466.5692223695846,49.664567071198604
XGBoost (Final),after,0.8900045642562953,2121.8023096364846,46.0630254068975
