model_name,actual_aqi,predicted_aqi,error
Linear Regression (Baseline),101.0,129.5245852363793,28.524585236379295
Linear Regression (Baseline),154.0,151.11574326813817,-2.884256731861825
Linear Regression (Baseline),102.0,121.55737360770071,19.55737360770071
Linear Regression (Baseline),429.0,522.5086309769587,93.50863097695867
Linear Regression (Baseline),99.0,83.8631606283792,-15.136839371620795
Linear Regression (Baseline),94.0,99.6783252938033,5.678325293803297
Linear Regression (Baseline),166.0,184.38115814860026,18.381158148600264
Linear Regression (Baseline),223.0,217.77343792114874,-5.226562078851259
Linear Regression (Baseline),91.0,126.0788823425534,35.0788823425534
Linear Regression (Baseline),73.0,106.22424926504985,33.22424926504985
Linear Regression (Baseline),310.0,227.8205141825736,-82.17948581742641
Linear Regression (Baseline),104.0,104.22489198733248,0.22489198733248372
Linear Regression (Baseline),180.0,174.88553364776962,-5.11446635223038
Linear Regression (Baseline),189.0,132.766658515365,-56.23334148463499
Linear Regression (Baseline),84.0,90.5416915714533,6.541691571453299
Linear Regression (Baseline),69.0,74.67763732203237,5.677637322032368
Linear Regression (Baseline),85.0,102.76774946676359,17.76774946676359
Linear Regression (Baseline),354.0,759.373787909814,405.37378790981404
Linear Regression (Baseline),74.0,76.83257751871223,2.8325775187122275
Linear Regression (Baseline),474.0,537.9364672959239,63.936467295923876
Linear Regression (Baseline),71.0,99.65932707127095,28.65932707127095
Linear Regression (Baseline),48.0,77.28991599028255,29.28991599028255
Linear Regression (Baseline),114.0,110.1105985286464,-3.889401471353594
Linear Regression (Baseline),186.0,193.066320769794,7.066320769794004
Linear Regression (Baseline),176.0,153.5732470355447,-22.42675296445529
Linear Regression (Baseline),58.0,97.24354755489534,39.24354755489534
Linear Regression (Baseline),72.0,107.17041409435593,35.170414094355934
Linear Regression (Baseline),76.0,86.43914374779642,10.439143747796422
Linear Regression (Baseline),457.0,188.47943880769932,-268.52056119230065
Linear Regression (Baseline),301.0,301.9788069143631,0.9788069143630764
Linear Regression (Baseline),266.0,229.80903563021187,-36.190964369788134
Linear Regression (Baseline),69.0,106.30111248952916,37.30111248952916
Linear Regression (Baseline),86.0,100.09213319291554,14.09213319291554
Linear Regression (Baseline),272.0,279.2707129209133,7.270712920913297
Linear Regression (Baseline),105.0,75.06509082164729,-29.93490917835271
Linear Regression (Baseline),64.0,85.09663767324307,21.096637673243066
Linear Regression (Baseline),105.0,113.54396583338377,8.543965833383766
Linear Regression (Baseline),123.0,96.67031812880639,-26.329681871193614
Linear Regression (Baseline),495.0,572.2629609077061,77.26296090770609
Linear Regression (Baseline),70.0,89.67169085840652,19.67169085840652
Linear Regression (Baseline),383.0,460.9100565979244,77.91005659792438
Linear Regression (Baseline),91.0,99.47462488895874,8.474624888958743
Linear Regression (Baseline),190.0,146.82206961585848,-43.17793038414152
Linear Regression (Baseline),41.0,80.16933347783566,39.169333477835664
Linear Regression (Baseline),95.0,141.16597116840234,46.165971168402336
Linear Regression (Baseline),134.0,124.3377387829065,-9.662261217093501
Linear Regression (Baseline),279.0,216.95746923741132,-62.04253076258868
Linear Regression (Baseline),51.0,140.83447932237584,89.83447932237584
Linear Regression (Baseline),206.0,164.78941977113374,-41.21058022886626
Linear Regression (Baseline),67.0,97.82721689114284,30.82721689114284
Linear Regression (Baseline),203.0,219.79759262247015,16.797592622470148
Linear Regression (Baseline),337.0,254.85354376568495,-82.14645623431505
Linear Regression (Baseline),91.0,97.3151016529319,6.315101652931901
Linear Regression (Baseline),462.0,483.7900200133855,21.790020013385515
Linear Regression (Baseline),176.0,102.3623543157769,-73.6376456842231
Linear Regression (Baseline),123.0,96.98302170539924,-26.01697829460076
Linear Regression (Baseline),180.0,162.77470261779067,-17.225297382209334
Linear Regression (Baseline),124.0,135.30912080076078,11.30912080076078
Linear Regression (Baseline),43.0,78.12144081543534,35.121440815435335
Linear Regression (Baseline),122.0,95.41013845083411,-26.58986154916589
Linear Regression (Baseline),314.0,234.94685702126068,-79.05314297873932
Linear Regression (Baseline),97.0,73.68569784271,-23.31430215729
Linear Regression (Baseline),50.0,66.01300884462069,16.013008844620686
Linear Regression (Baseline),80.0,98.21963221419094,18.219632214190938
Linear Regression (Baseline),141.0,231.89859816222872,90.89859816222872
Linear Regression (Baseline),100.0,118.28833296712405,18.28833296712405
Linear Regression (Baseline),83.0,73.78091124756176,-9.219088752438239
Linear Regression (Baseline),102.0,109.46346464200825,7.4634646420082476
Linear Regression (Baseline),108.0,123.13335184931873,15.133351849318728
Linear Regression (Baseline),419.0,535.0192471703729,116.01924717037286
Linear Regression (Baseline),170.0,151.5680979222696,-18.4319020777304
Linear Regression (Baseline),66.0,87.61996351483799,21.61996351483799
Linear Regression (Baseline),101.0,122.97929179927979,21.979291799279792
Linear Regression (Baseline),83.0,111.24052515337576,28.240525153375756
Linear Regression (Baseline),20.0,30.737326281061915,10.737326281061915
Linear Regression (Baseline),90.0,90.07076848110445,0.07076848110445155
Linear Regression (Baseline),134.0,103.52510544089216,-30.474894559107838
Linear Regression (Baseline),99.0,62.71002802870035,-36.28997197129965
Linear Regression (Baseline),66.0,84.68472893071655,18.684728930716545
Linear Regression (Baseline),68.0,90.3555715815791,22.3555715815791
Linear Regression (Baseline),261.0,246.4639737355643,-14.53602626443569
Linear Regression (Baseline),109.0,122.23653708546735,13.236537085467347
Linear Regression (Baseline),483.0,580.1930274566519,97.19302745665186
Linear Regression (Baseline),74.0,74.95828970479954,0.9582897047995402
Linear Regression (Baseline),475.0,467.58209896398705,-7.41790103601295
Linear Regression (Baseline),120.0,216.279828910964,96.279828910964
Linear Regression (Baseline),53.0,46.054003997089524,-6.945996002910476
Linear Regression (Baseline),98.0,97.6885948902471,-0.31140510975289715
Linear Regression (Baseline),298.0,153.23220712515524,-144.76779287484476
Linear Regression (Baseline),94.0,128.37934858944288,34.379348589442884
Linear Regression (Baseline),53.0,62.59366574056855,9.593665740568547
Linear Regression (Baseline),100.0,115.9297186340377,15.929718634037698
Linear Regression (Baseline),48.0,67.53094659326948,19.530946593269476
Linear Regression (Baseline),95.0,122.64895877075745,27.648958770757446
Linear Regression (Baseline),52.0,72.54895305641793,20.54895305641793
Linear Regression (Baseline),100.0,87.85825204614753,-12.141747953852473
Linear Regression (Baseline),127.0,158.5083210041799,31.50832100417989
Linear Regression (Baseline),74.0,87.94574547761628,13.945745477616285
Linear Regression (Baseline),57.0,71.9638027460996,14.963802746099603
Linear Regression (Baseline),338.0,280.12588469203695,-57.87411530796305
Linear Regression (Baseline),300.0,259.4429702617094,-40.55702973829062
Linear Regression (Baseline),50.0,72.2727767318563,22.272776731856297
Linear Regression (Baseline),416.0,415.8510777695883,-0.14892223041169927
Linear Regression (Baseline),80.0,125.3810741235952,45.3810741235952
Linear Regression (Baseline),115.0,166.84799178293784,51.84799178293784
Linear Regression (Baseline),471.0,463.73252420092786,-7.267475799072145
Linear Regression (Baseline),74.0,102.87115719147005,28.871157191470047
Linear Regression (Baseline),143.0,176.13279387609515,33.13279387609515
Linear Regression (Baseline),335.0,265.12338932880533,-69.87661067119467
Linear Regression (Baseline),334.0,346.88817329750736,12.888173297507365
Linear Regression (Baseline),129.0,376.73059770681675,247.73059770681675
Linear Regression (Baseline),66.0,77.73308081013722,11.733080810137224
Linear Regression (Baseline),85.0,95.5210455734032,10.5210455734032
Linear Regression (Baseline),315.0,222.20128972352524,-92.79871027647476
Linear Regression (Baseline),133.0,111.92404287808628,-21.075957121913717
Linear Regression (Baseline),161.0,139.06310576246398,-21.936894237536023
Linear Regression (Baseline),263.0,226.28619806348956,-36.713801936510436
Linear Regression (Baseline),56.0,79.35530160461128,23.355301604611284
Linear Regression (Baseline),59.0,67.53793832260281,8.537938322602812
Linear Regression (Baseline),70.0,69.81256700820973,-0.18743299179027417
Linear Regression (Baseline),285.0,260.91312030018344,-24.086879699816564
Linear Regression (Baseline),71.0,73.48829985096486,2.4882998509648644
Linear Regression (Baseline),52.0,72.98269552747858,20.982695527478583
Linear Regression (Baseline),117.0,118.43562245228256,1.4356224522825585
Linear Regression (Baseline),108.0,116.89746890174581,8.89746890174581
Linear Regression (Baseline),299.0,236.27728090948096,-62.722719090519035
Linear Regression (Baseline),102.0,106.09300555253121,4.09300555253121
Linear Regression (Baseline),69.0,97.86099958771808,28.860999587718084
Linear Regression (Baseline),98.0,114.67984044140611,16.679840441406114
Linear Regression (Baseline),107.0,100.29213359793665,-6.707866402063345
Linear Regression (Baseline),65.0,84.3307792230055,19.330779223005493
Linear Regression (Baseline),181.0,159.38235632258247,-21.617643677417533
Linear Regression (Baseline),143.0,154.71569466254743,11.715694662547435
Linear Regression (Baseline),457.0,518.6154989953922,61.61549899539216
Linear Regression (Baseline),106.0,88.14360935392119,-17.856390646078808
Linear Regression (Baseline),127.0,153.54231440483298,26.54231440483298
Linear Regression (Baseline),54.0,62.841299576091124,8.841299576091124
Linear Regression (Baseline),356.0,362.3035944925499,6.303594492549905
Linear Regression (Baseline),56.0,74.08793358768968,18.087933587689676
Linear Regression (Baseline),80.0,108.57464404580968,28.574644045809677
Linear Regression (Baseline),66.0,76.49102623132528,10.491026231325279
Linear Regression (Baseline),99.0,119.04712014546327,20.047120145463268
Linear Regression (Baseline),136.0,128.4942872648179,-7.505712735182101
Linear Regression (Baseline),318.0,197.9816961489252,-120.01830385107479
Linear Regression (Baseline),660.0,590.4244377523353,-69.57556224766472
Linear Regression (Baseline),52.0,70.3204602813743,18.320460281374295
Linear Regression (Baseline),82.0,116.51094983659183,34.510949836591834
Linear Regression (Baseline),345.0,302.97873032618793,-42.02126967381207
Linear Regression (Baseline),219.0,209.42080298664766,-9.579197013352342
Linear Regression (Baseline),235.0,253.27545826193793,18.275458261937928
Linear Regression (Baseline),216.0,154.13469324896212,-61.86530675103788
Linear Regression (Baseline),178.0,171.06022309378662,-6.939776906213382
Linear Regression (Baseline),243.0,240.97722227718097,-2.022777722819029
Linear Regression (Baseline),291.0,161.13835178650663,-129.86164821349337
Linear Regression (Baseline),221.0,179.65173016791945,-41.34826983208055
Linear Regression (Baseline),164.0,157.01079443339862,-6.989205566601385
Linear Regression (Baseline),177.0,160.22958064514094,-16.770419354859058
Linear Regression (Baseline),372.0,323.24741984042316,-48.75258015957684
Linear Regression (Baseline),79.0,105.1838731685437,26.1838731685437
Linear Regression (Baseline),75.0,84.38101610410362,9.381016104103622
Linear Regression (Baseline),88.0,116.00834094082802,28.00834094082802
Linear Regression (Baseline),87.0,87.96017023862343,0.9601702386234336
Linear Regression (Baseline),94.0,105.92610416710146,11.926104167101457
Linear Regression (Baseline),156.0,163.26504889210673,7.2650488921067335
Linear Regression (Baseline),47.0,76.1788738119724,29.178873811972394
Linear Regression (Baseline),473.0,238.41941585764243,-234.58058414235757
Linear Regression (Baseline),175.0,184.59329117294965,9.593291172949648
Linear Regression (Baseline),200.0,215.88792303367043,15.887923033670432
Linear Regression (Baseline),94.0,108.57379582840993,14.573795828409928
Linear Regression (Baseline),69.0,98.35434702469367,29.354347024693666
Linear Regression (Baseline),106.0,137.22094279753634,31.22094279753634
Linear Regression (Baseline),70.0,81.07552464993017,11.075524649930173
Linear Regression (Baseline),183.0,175.008880470517,-7.991119529483001
Linear Regression (Baseline),149.0,193.6746371751753,44.67463717517529
